Gewicht ÐÐ kg	BMI	ÐÐ kg m²
Gewicht ÐÐ kg	BMI	ÐÐ kg mÐ
Stentimplantation Eingefäß Implantation	BMS	Primär Stenting INDIKATION
Implantation von Ð	BMS	und Ð DES
ICD Kontrolle Batteriestatus	BOL	Sensing P Welle
ICD Kontrolle Batteriestatus	BOL	Sensing P Welle
ICD Kontrolle Batteriestatus	BOL	Sensing RV ÐÐ
ÐÐ min Batteriestatus	BOL	Ladezeit Ð Ð
Stentimplantation Eingefäß Implantation	BRS	INDIKATION EN NSTEMI
Zeit im Normbereich	BWA	o B Echokardiographie
normale Vorhoferregung ÜZ	BWA	regelrechter R Anstieg
regelm Kontrollen des	BZ	des RR sowie
regelm Kontrollen des	BZ	des RR sowie
regelm Kontrollen des	BZ	des RR sowie
insbes Kontrolle des	BZ	der Blutfette und
regelm Kontrollen des	BZ	des Blutdruckes sowie
ÐxÐ Insulin lt	BZ	Klinisch physikalische Symptomatik
anamnestisch KHK I	CA	am ÐÐ ÐÐ
bemessen RV unauff	CA	Biopsie vom Ð
Ð Ausschluss KHK	CA	ÐÐ ÐÐ ÐÐÐÐ
ÐÐ Ð ÐÐÐÐ	CABG	mit LIMA zu
und St p	CABG	ÐÐ Ð ÐÐÐÐ
neurochirurgischen Behandlung gegeben	CCT	Kontrolle ausschließlich bei
CRP ÐÐÐ Labor	CK	ÐÐÐ CKMB ÐÐ
Labor CK ÐÐÐ	CKMB	ÐÐ Trop T
Symptomatik BEURTEILUNG Dil	CMP	St p CRT
Pat in der	CMP	Ambulanz Hr LN_ÐÐÐÐÐ
Vorhofs JÐÐ Ð	COPD	III IÐÐ Ð
Ð st p	CPR	bei tachykard VHFA
T Leuko ÐÐÐÐÐ	CRP	ÐÐÐ Labor CK
ÐÐ Leuko ÐÐÐÐÐ	CRP	ÐÐ Labor CK
Evaluierung hinsichtlich einer	CRT	ICD Indikation bei
St p ICD	CRT	Implantation im Rahmen
und Zustand nach	CRT	ICD Implantation über
Ð Ð Ad	CRT	Kein Benefit bei
pectoris positiver Coronar	CT	Befund arterielle Hypertonie
des Gesichtsschädels ÐÐÐÐÐÐÐÐÐ	CT	der Halswirbelsäule ÐÐÐÐÐÐÐÐÐ
CT des Gesichtsschädels	CT	der Halswirbelsäule ÐD
Veränderungen nicht nachzuweisen	CT	der HWS Degenerative
SR EKG vor	CV	VHFA ÐÐ min
IÐÐ Vorhofflattern elektr	CV	mit Konversion in
LAD m ch	CX	m ch RCA
im proximalen Drittel	CX	mit ÐÐ iger
im mittleren Drittel	CX	mit ÐÐ iger
im mittleren Drittel	CX	mit ÐÐ iger
proximal am Abgang	CX	m ch RCA
im distalen Drittel	CX	m ch RCA
Stent s in	CX	PROZEDERE Efient für
Stent Ok ÐÐ	CX	Ð Ð Ð
implantation von Ð	CX	Ð LAD und
Permanenter Modus AAI	DDD	ÐÐ min Batteriestatus
EKG Schrittmacheraktivität im	DDD	Mode mit adäquatem
Implantation von Ð	DE	Stent s in
Implantation von Ð	DE	Stent s in
Implantation von Ð	DE	Stent s in
Implantation von Ð	DE	Stent s in
Stentimplantation mehrfach Implantation	DES	INDIKATION EN NSTEMI
Stentimplantation mehrfach Implantation	DES	Hauptstammstent INDIKATION EN
Implantation BMS Implantation	DES	Primär Stenting Bypassdarstellung
patholog Resistenzen tastbar	DG	s in allen
path Resistenzen tastbar	DG	in allen Ð
path Resistenzen tastbar	DG	in allen Ð
path Resistenzen tastbar	DG	in allen Ð
weich kein DS	DG	lebhaft UE bds
weich kein DS	DG	lebhaft UE bds
pathol Resistenzen tastbar	DG	in allen Ð
tastbar kein DS	DG	s in allen
weich kein DS	DG	normal in allen
weich kein DS	DG	lebhaft Extremitäten keine
balloning mit ÐÐmm	DM	ballon kein leak
Aortenklappestenose mit ÐÐmm	DM	ballon Implantation einer
Corticoid Therapie Osteopenie	DM	Typ II persistierender
re ventr grenzwertige	DM	diffuse Hypokinesie EF
Ablation KHK I	DM	II art HT
in Thoraxniveau kein	DS	keine path Resistenzen
Abdomen weich kein	DS	keine pathol Resistenzen
Abdomen weich kein	DS	DG lebhaft UE
Abdomen weich kein	DS	DG lebhaft UE
BD weich kein	DS	keine Abwehrspannung Extremitäten
Abd weich kein	DS	keine patholog Resistenzen
Abdomen weich kein	DS	keine path Resistenzen
jederzeit über die	EBA	oder die kardiol
jederzeit über die	EBA	oder die kardiol
jederzeit über die	EBA	oder die kardiol
jederzeit über die	EBA	oder die kardiol
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
Wiedervorstellung in der	EBA	bzw kardiol Ambulanz
groß normale Pumpfunktion	EDP	Ð Linksversorgungstyp LAD
EF ÐÐ LV	EDP	ÐÐ mmHg LAD
mit diastolischer Relaxationsstörung	EF	ÐÐ ÐÐ Aortenklappensklerose
mit diastolischer Relaxationsstörung	EF	ÐÐ ÐÐ Aortenklappensklerose
eingeschränkter LV Funktion	EF	ca ÐÐ EDP
eingeschränkter LV Funktion	EF	ca ÐÐ MINS
Linksventrikelfunktion mit einer	EF	von ÐÐ Spitzendyskinesie
mit diastolischer Relaxationsstörung	EF	ÐÐ ÐÐ MINS
mit diastolischer Relaxationsstörung	EF	ÐÐ ÐÐ MINS
geringe Septum HK	EF	ÐÐ ÐÐ AKE
LV normal weit	EF	ÐÐ ÐÐ MINS
globale systolische Linksventrikelfunktion	EF	ÐÐ keine regionalen
Funktion mit einer	EF	nach Teichholz von
Herzhöhlen normal weit	EF	ÐÐ ÐÐ kein
auf regionale WBST	EF	ÐÐ ÐÐ kein
weit Septum HK	EF	ÐÐ ÐÐ AKE
HK apikoseptale HW	EF	ÐÐ ÐÐ MINS
HK bis AK	EF	ÐÐ ÐÐ MINS
eingeschränkter LV Funktion	EF	ÐÐ EDP ÐÐ
Herzhöhlen normal weit	EF	ÐÐ ÐÐ TRINS
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR Indiff Typ
ÐÐÐ ÐÐ mmHg	EKG	FA ÐÐ ÐÐ
Adipositas RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐ mmHg f	EKG	SR ÐÐ min
ÐÐ mmHg f	EKG	SR ÐÐ min
ÐÐ mmHg f	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	SR ÐÐÐ min
ÐÐÐ ÐÐÐ mmHg	EKG	SR ÐÐ min
ÐÐÐ ÐÐ mmHg	EKG	FA ÐÐ ÐÐÐ
Kardiomyopathie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐÐÐ RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐÐÐ RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	Als Grundrhythmus besteht
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR SM Aktivität
Blutdruck ÐÐÐ ÐÐmmHg	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	Normocarde VHFA Indiff
Hypertonie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
Hypertonie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
Hypertonie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐmmHg Gewicht ÐÐkg	EKG	SR ÐÐ min
ÐÐmmHg Gewicht ÐÐkg	EKG	SR ÐÐ min
hepatis RELEVANTE BEFUNDE	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR Linkstyp flaches
Nikotinabusus RELEVANTE BEFUNDE	EKG	SR ÐÐ min
Vorhofflimmerarrhythmie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
PAE RELEVANTE BEFUNDE	EKG	SR ÐÐ min
ÐÐ mmHg f	EKG	VHFA ÐÐ min
syst kein Perikarderguß	EKG	SR ÐÐ min
ÐÐ mmHg f	EKG	Sr ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	SR L Typ
ÐÐ Stunden Holter	EKG	Befund wird nachgereicht
Penicillinallergie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
einen normofrequenten SR	EKG	vor CV VHFA
Niereninsuffizienz RELEVANTE BEFUNDE	EKG	SR ÐÐ min
HLP RELEVANTE BEFUNDE	EKG	SR ÐÐ min
mittels Cathofix Druckverband	EKG	SR ÐÐ min
DIAGNOSEN RELEVANTE BEFUNDE	EKG	Vorhofflimmern ÐÐ min
Aortenektasie RELEVANTE BEFUNDE	EKG	SR ÐÐ min
Prostatahyperplasie RELEVANTE BEFUNDE	EKG	SR IT ÐÐ
ÐÐ mmHg f	EKG	AV Sequentielle Stimulation
mit Linksventrikulographie INDIKATION	EN	V a koronare
Aorta abdominalis INDIKATION	EN	Aortenklappenstenose Koronare Herzkrankheit
Implantation BMS INDIKATION	EN	ST Hebungsinfarkt ÐStd
Primär Stenting INDIKATION	EN	ST Hebungsinfarkt Ð
mit Linksventrikulographie INDIKATION	EN	arterielle Hypertonie Hyperlipidämie
Aorta abdominalis INDIKATION	EN	Koronare Herzkrankheit Aortenklappenstenose
Teilnahme an der	EPATH	Studie und verbleiben
Wochen Anamnese Herzrasen	EPU	Oberflächen EKG normaler
konk intermitt Deltawelle	EPU	Untersuchungen Elektrophysiologische Untersuchung
des Patienten zur	EPU	und Ablation bei
über der Vorderwand	ERST	ICD Kontrolle Batteriespannung
über der Vorderwand	ERST	Ergometrie Belastbarkeit bis
über der Vorderwand	ERST	Echokardiographie Dilatation des
über der Vorderwand	ERST	Echokardiographie Dilatation des
Umschlag in VÐ	ES	konk Echokardiographie Normale
ÐÐÐ QRS schmal	EST	konk EPU Untersuchungen
RSU in VÐ	EST	konk Herzkatheter Untersuchungen
guter AZ u	EZ	C C unauff
guter AZ guter	EZ	C C frei
guter AZ guter	EZ	C C frei
guter AZ guter	EZ	C C frei
guter AZ adipöser	EZ	C C frei
normaler AZ u	EZ	Cor rh nc
guter AZ adip	EZ	Caput Collum frei
normaler AZ und	EZ	Cor arrh nc
ÐÐ mmHg EKG	FA	ÐÐ ÐÐ min
ÐÐ mmHg EKG	FA	ÐÐ ÐÐ min
Kontrollen beim niedergel	FA	Ðxjährl die bereits
arterielle Hypertonie paroxysmale	FA	Adipositas p m
lt Schema bzw	FK	Morgen TTE Ko
Lipide über den	HA	regelm kardiol fachärztl
Lipide über den	HA	regelm kardiol fachärztl
Lipide über den	HA	regelm kardiol fachärztl
physikalische Symptomatik Cor	HA	rh nc keine
Lipide über den	HA	Thrombo Ass ÐÐÐmg
Ð Ð Exforge	HCT	Ð ÐÐÐ ÐÐ
Ð Ð Amelior	HCT	ÐÐ Ð ÐÐ
Watt ÐÐ max	HF	ÐÐÐ min max
Ergometrie Bis ÐÐÐW	HF	bis ÐÐÐ min
Ergometrie Bis ÐÐÐW	HF	bis ÐÐÐ min
Ergometrie Bis ÐÐÐW	HF	bis ÐÐÐ min
Schmalkomplextachykardie mit einer	HF	von ÐÐÐ min
Bis zu einer	HF	von ÐÐÐ min
Ergometrie Bis ÐÐW	HF	bis ÐÐÐ min
Abbruch wegen Erschöpfung	HF	Anstieg auf ÐÐÐ
Watt bzw einer	HF	von ÐÐÐ min
erreicht max erreichte	HF	ÐÐÐ min max
ÐÐ des Soll	HF	bis ÐÐÐ min
Soll Anstieg der	HF	von ÐÐ auf
dabei Anstieg der	HF	von ÐÐ auf
dabei Anstieg der	HF	von ÐÐ auf
Biotronic Lumax ÐÐÐ	HFT	Permanenter Modus DDD
Bereich sonst diffuse	HK	EF ÐÐ ÐÐ
grenzwertig weit diffuse	HK	EF ÐÐ ÐÐ
weit LVH geringe	HK	apikoseptal EF ÐÐ
weit LVH geringe	HK	apikoseptal EF ÐÐ
LVH geringe Septum	HK	EF ÐÐ ÐÐ
weit geringe Septum	HK	EF ÐÐ ÐÐ
weit geringe Septum	HK	EF ÐÐ ÐÐ
LV normal weit	HK	v a apikoseptale
Relaxationsstörung geringe Septum	HK	EF ÐÐ ÐÐ
keine Herzfermente gemacht	HN	ÐÐ Crea Ð
Univ Klinik für	HNO	empfohlen Bezüglich der
die Pat im	HNO	Bereich beschwerdefrei Keine
Rechts ACC Mehrere	HP	keine relevanten Stenosen
ACE ACI konzentr	HP	Bildung im Abgangsbreich
SP ACI Mehrer	HP	keine relevante Stenose
Halsgefäße Rechts ACC	HP	ohne höhergradige Obstruktion
Relevanz ACI ACE	HP	ohne hämodynamsiche Relevanz
ACE Zahlreiche verkalkte	HP	keine relevante Stenosen
Cor normokard rhythmisch	HT	rein leises Systolicum
normokard rhythmisch II	HT	etwas betont leises
Cor normocard rhythmisch	HT	rein keine auffallenden
Cor normokard rhythmisch	HT	rein Systolicum keine
Cor normokard rhythisch	HT	rein leises Systolicum
Cor normokard arrhythmisch	HT	etwas leise Systolicum
normokard rhythmisch II	HT	gespalten Systolicum US
Cor rhythm normokard	HT	rein Pulmo VA
Cor normokard rhythmisch	HT	rein deutliches Systolicum
in der Norm	HV	ÐÐ Ohm Episodenspeicher
in der Norm	HV	ÐÐ Ohm Episodenspeicher
in der Norm	HV	ÐÐ Ohm Episodenspeicher
in der Norm	HV	ÐÐ Ohm Episodenspeicher
Impedanzen ÐÐÐ Ohm	HV	ÐÐ Ohm Episodenspeicher
a im basalen	HW	Septum Bereich EF
Ð ÐÐÐÐ zur	ICD	Kontrolle in unserer
Ð ÐÐÐÐ zur	ICD	Kontrolle in unserer
hinsichtlich einer prophylakt	ICD	Implantation Anamnese Anamnestisch
ÐÐÐÐ zur routinemäßigen	ICD	Kontrolle in der
ÐÐ kein Perikarderguss	ICD	Kontrolle Batteriespannung Ð
ÐÐ ÐÐÐÐ zur	ICD	Kontrolle an der
der Vorderwand ERST	ICD	Kontrolle Batteriespannung Ð
ÐÐÐÐ zur routinemäßigen	ICD	Kontrolle an der
ÐÐÐÐ zur routinemäßigen	ICD	Kontrolle an der
zwischenzeitlich erfolgen die	ICD	Kontrollen über das
Z n CRT	ICD	Implantation Ð ÐÐÐÐ
adäquater biventr Stimulation	ICD	Kontrolle Batteriespannung Ð
Medikation Eine neuerliche	ICD	Kontrolle wie vereinbart
HHK Zustand nach	ICD	Implantation wegen Kammertachykardien
Z n CRT	ICD	Implantation In der
Kontrolle dzt einwandfreie	ICD	Funktion nächste Kontrolle
der VW ERST	ICD	Kontrolle Batteriespannung Ð
Medikation Eine neuerliche	ICD	Kontrolle inkl Echokardiographie
Medikation Eine neuerliche	ICD	Kontrolle inkl Echokardiographie
nach prophylaktischer CRT	ICD	Implantation Ð ÐÐÐÐ
ÐÐÐÐ komplikationslos die	ICD	Implantation durchgeführt werden
Kardiomyopathie Z n	ICD	Implantation wegen Kammertachykardien
klinisches Zustandsbild einwandfreie	ICD	Funktion bei ischämischer
SR ÐÐ min	ICD	Abfrage Meßwerte im
VHFA Nein Einen	ICD	zur reinen Verhinderung
VHFA Nein Einen	ICD	zur reinen Verhinderung
mit St p	ICD	Implantation ÐÐÐÐ KHK
Signaltonabgabe durch das	ICD	Aggregat Anamnestisch ist
Signaltonabgabe durch das	ICD	Aggregat Anamnestisch ist
mit PM II	ICR	re parasternal US
p max Ð	ICR	rechts parasternal mit
I TRINS I	II	mit max syst
mit AINS I	II	TRINS I II
I MINS I	II	TRINS I mit
MINS I TRINS	II	III mit max
MINS I TRINS	II	III mit max
MINS I TRINS	II	III mit max
Sinne von NYHA	II	an Die weitere
AINS I MINS	II	TRINS II mit
MINS II TRINS	II	mit max syst
Diabetes mellitus Typ	II	NÐÐ Ð Niereninsuffizienz
Diabetes mellitus Typ	II	EÐÐ Ð Struma
Sinne von NYHA	II	In der heutigen
IÐÐ Ð KHK	II	St p CA
ÐÐ ÐÐ MINS	II	TRINS I mit
Aorteninsuffizienz Grad I	II	Ausgeglichener Versorgungstyp LAD
präterm neg T	II	III aVF sowie
AINS I TRINS	II	mit max syst
eine operierte KHK	II	St p TIA
AINS I MINS	II	TRINS Ð I
Bei bekannter KHK	II	mit LM ÐÐ
ÐÐ ÐÐ AINS	II	III MINS I
von NYHA II	III	Zur weiterführenden Evaluierung
Dyspnoe NYHA II	III	keine AP Vertigo
Dyspnoe NYHA II	III	keine AP keine
IÐÐ Ð AST	III	AöF Ð ÐcmÐ
sich eine KHK	III	mit Hauptstammbeteiligung ÐÐ
IÐÐ Ð KHK	III	St p CA
BEURTEILUNG Vordergründig KHK	III	mit St p
IÐÐ Ð KHK	III	CA am ÐÐ
min AV Block	III	Kammerfrequenz ÐÐ ÐÐ
min Steiltyp Q	III	aVF R Umschlag
von NYHA II	III	an Die ausführliche
Neg in II	III	AVF VÐ u
T Abflachung in	III	Knotung in VÐ
sich eine KHK	III	mit ÐÐ Stenose
T in I	III	AVR AVF VÐ
zum USKG AINS	IIIII	Vorschlag Beurteilung des
Procedere Orale Antikoagulation	INR	Ð Ð Ð
Ð Monate therap	INR	Ð Ð Dilatrend
LN_ÐÐÐ besteht eine	IPF	UIP art Hypertonus
SR ÐÐ min	IT	PQ ÐÐÐms QRS
ca ÐÐS M	IT	QRS schmal neg
BEFUNDE EKG SR	IT	ÐÐ min PQ
SR ÐÐ min	IT	RS in VÐ
SR ÐÐ min	IT	PQ ÐÐÐ ms
DIAGNOSEN IÐÐ Ð	KHK	II CA am
besteht eine operierte	KHK	ischämische Kardiomyopathie Z
zeigte sich eine	KHK	II mit ÐÐÐ
bei Verdacht auf	KHK	Physikalischer Status ÐÐ
LN_ÐÐÐÐÐ besteht eine	KHK	bei Zustand nach
EN Aortenklappenstenose Bekannte	KHK	elektive TF AVI
